Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,0.080396,0.082147,0.075596,0.078540,0.078540,33151
2021-07-16,0.078715,0.096845,0.075252,0.094795,0.094795,62098
2021-07-17,0.094776,0.096964,0.093590,0.094073,0.094073,35620
2021-07-18,0.094094,0.096634,0.092825,0.094399,0.094399,10393
2021-07-19,0.094431,0.094602,0.090741,0.092006,0.092006,4491
2021-07-20,0.092011,0.092574,0.087716,0.089013,0.089013,6968
2021-07-21,0.088998,0.096662,0.088158,0.094030,0.094030,4397
2021-07-22,0.094036,0.105254,0.092323,0.096667,0.096667,18233
2021-07-23,0.096641,0.101379,0.092985,0.101371,0.101371,36534
2021-07-24,0.101437,0.102741,0.096033,0.101472,0.101472,66742
2021-07-25,0.101526,0.106380,0.098592,0.106339,0.106339,50018
2021-07-26,0.106335,0.116773,0.105713,0.108387,0.108387,75353
2021-07-27,0.108279,0.117652,0.105061,0.115502,0.115502,39138
2021-07-28,0.115784,0.123665,0.113333,0.115903,0.115903,52540
2021-07-29,0.115838,0.120932,0.111883,0.114093,0.114093,83022
2021-07-30,0.114146,0.120336,0.108228,0.120336,0.120336,77875
2021-07-31,0.120640,0.134652,0.115710,0.123897,0.123897,54359
2021-08-01,0.123658,0.129877,0.117567,0.118873,0.118873,52253
2021-08-02,0.118597,0.119571,0.111665,0.116704,0.116704,96906
2021-08-03,0.116781,0.117241,0.105561,0.116198,0.116198,140433
2021-08-04,0.116249,0.122415,0.110381,0.116703,0.116703,126978
2021-08-05,0.116633,0.139457,0.107103,0.127561,0.127561,115301
2021-08-06,0.127555,0.128162,0.114471,0.122184,0.122184,97820
2021-08-07,0.121987,0.127249,0.120518,0.125116,0.125116,104358
2021-08-08,0.124773,0.132178,0.121476,0.127537,0.127537,123254
2021-08-09,0.127663,0.131037,0.121387,0.128072,0.128072,98116
2021-08-10,0.128290,0.137444,0.122178,0.131759,0.131759,163083
2021-08-11,0.131827,0.149157,0.124919,0.131217,0.131217,249575
2021-08-12,0.131169,0.134872,0.113222,0.117067,0.117067,232052
2021-08-13,0.117057,0.123597,0.114515,0.119943,0.119943,123463
2021-08-14,0.119987,0.120660,0.113482,0.119571,0.119571,92288
2021-08-15,0.119571,0.119571,0.113209,0.118240,0.118240,71818
2021-08-16,0.118172,0.119798,0.113300,0.114925,0.114925,65404
2021-08-17,0.114819,0.119809,0.106520,0.109064,0.109064,108387
2021-08-18,0.109053,0.116359,0.108139,0.109007,0.109007,140391
2021-08-19,0.108952,0.116223,0.101535,0.115083,0.115083,179049
2021-08-20,0.115113,0.122040,0.107245,0.120087,0.120087,259524
2021-08-21,0.120080,0.127422,0.101381,0.125415,0.125415,211890
2021-08-22,0.125355,0.134060,0.117045,0.124337,0.124337,208759
2021-08-23,0.124310,0.132117,0.113234,0.127944,0.127944,228606
2021-08-24,0.127973,0.130227,0.115880,0.120966,0.120966,196327
2021-08-25,0.120403,0.145846,0.117139,0.143493,0.143493,225800
2021-08-26,0.143487,0.146740,0.129591,0.135359,0.135359,193577
2021-08-27,0.135363,0.156639,0.132381,0.150245,0.150245,263138
2021-08-28,0.152252,0.154717,0.130049,0.144952,0.144952,338666
2021-08-29,0.145150,0.148663,0.132280,0.132896,0.132896,225131
2021-08-30,0.132851,0.137891,0.127250,0.132026,0.132026,336173
2021-08-31,0.132092,0.134554,0.121524,0.127748,0.127748,272697
2021-09-01,0.127088,0.135514,0.114884,0.134125,0.134125,254285
2021-09-02,0.134084,0.135876,0.130142,0.133391,0.133391,148976
2021-09-03,0.133360,0.136952,0.130808,0.133521,0.133521,99941
2021-09-04,0.133665,0.146235,0.131188,0.141018,0.141018,125324
2021-09-05,0.141017,0.141017,0.133720,0.136323,0.136323,128887
2021-09-06,0.136342,0.145262,0.134896,0.143850,0.143850,109140
2021-09-07,0.143853,0.144513,0.122546,0.132496,0.132496,122770
2021-09-08,0.132528,0.136353,0.127861,0.129217,0.129217,170522
